gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
ESPL1,0.3185979282100699,0.30570946759816914,0.23500361358708746,0.09648277523488316,0.0281859792821007,0.010961214165261383,0.010840761262346423,0.00012045290291496025
DDX49,0.31558660563719587,0.290893760539629,0.18754516983859312,0.04131534569983136,0.004095398699108649,0.00012045290291496025,0.0,0.00012045290291496025
ZNF174,0.29860274632618644,0.20946759816911587,0.06624909660322814,0.00481811611659841,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.0
ZNF175,0.3172729462780053,0.3034208624427849,0.2354854251987473,0.099975909419417,0.026740544447121175,0.001927246446639364,0.001927246446639364,0.0
DDX43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF177,0.3190797398217297,0.3083594314622982,0.24560346904360394,0.11226210551674295,0.031197301854974706,0.002288605155384245,0.002288605155384245,0.0
DDX47,0.3058299205010841,0.2472898096844134,0.13960491447843892,0.039388099253192005,0.003493134184533847,0.0002409058058299205,0.0002409058058299205,0.0
DDX46,0.31293664177306674,0.2774030354131535,0.1703204047217538,0.06347867983618405,0.017465670922669235,0.0015658877378944833,0.001445434834979523,0.00012045290291496025
PTEN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ELAVL4,0.300048181161166,0.21886292459648277,0.07660804625391472,0.00951577933028186,0.0013249819320645627,0.00036135870874488076,0.00036135870874488076,0.0
ELAVL1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ELAVL2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ELAVL3,0.23656950132498195,0.10648036617682487,0.01987472898096844,0.0026499638641291254,0.0008431703204047217,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
