gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
GRWD1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3009476958692035,0.2390219199884251,0.011647254575707155,0.011647254575707155,0.0
FAM114A2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.23468132822108081,0.007596035592852492,0.007523692396730087,7.234319612240469e-05
IFNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHB,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3012370686536931,0.20784200245966866,0.0031107574332634017,0.003038414237140997,7.234319612240469e-05
IFNG,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30036895030022426,0.13636692469073283,0.0018809230991825218,0.0018809230991825218,0.0
GMIP,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2924835419228822,0.03718440280691601,0.03718440280691601,0.0
ADRA1A,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.299428488750633,0.07711784706648339,0.0006510887651016422,0.0006510887651016422,0.0
ADRA1B,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.17167040439846631,0.0022426390797945454,0.0022426390797945454,0.0
ADRA1D,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.262244085943717,0.01251537292917601,0.01251537292917601,0.0
SAP25,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30174347102654997,0.2869854590175794,0.024307313897127977,0.024307313897127977,0.0
CAPZB,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.28170440570064387,0.01757939665774434,0.01757939665774434,0.0
GABRG3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.25898864211820877,0.010562106633871084,0.010562106633871084,0.0
GABRG2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3008030094769587,0.12587716125298415,0.0022426390797945454,0.0022426390797945454,0.0
AHSA1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3015987846343051,0.280836287347175,0.020256094914273312,0.020183751718150907,7.234319612240469e-05
AHSA2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.28647905664472256,0.03125226072487883,0.03125226072487883,0.0
TOMM5,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3012370686536931,0.2594227012949432,0.019677349345294075,0.019677349345294075,0.0
GLMN,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2819214352890111,0.02372856832814874,0.023656225132026334,7.234319612240469e-05
GSTO2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2915430803732909,0.029443680821818707,0.029371337625696305,7.234319612240469e-05
GSTO1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3015987846343051,0.2794617666208493,0.013672864067134485,0.013600520871012082,7.234319612240469e-05
TTC33,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.27830427548289083,0.019098603776314838,0.019098603776314838,0.0
TTC32,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.27996816899370613,0.022932793170802285,0.022932793170802285,0.0
TTC31,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30174347102654997,0.27996816899370613,0.0231498227591695,0.0231498227591695,0.0
