gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
MLKL,0.11042183622828784,0.11021505376344086,0.006513647642679901,0.006513647642679901,0.0
KLHL13,0.11042183622828784,0.11000827129859388,0.004807692307692308,0.004807692307692308,0.0
ARHGAP4,0.11042183622828784,0.1098014888337469,0.004342431761786601,0.004342431761786601,0.0
CNGB1,0.11042183622828784,0.10985318444995865,0.0028949545078577337,0.0028949545078577337,0.0
FMN2,0.11042183622828784,0.11021505376344086,0.007909429280397022,0.007909429280397022,0.0
LCLAT1,0.11042183622828784,0.10918114143920596,0.003205128205128205,0.003205128205128205,0.0
GGA1,0.11042183622828784,0.11005996691480563,0.005117866004962779,0.005117866004962779,0.0
UBE2W,0.11042183622828784,0.11021505376344086,0.007961124896608768,0.007961124896608768,0.0
FGD3,0.11042183622828784,0.10985318444995865,0.004083953680727875,0.004083953680727875,0.0
MYL3,0.11042183622828784,0.11031844499586435,0.008891645988420183,0.008891645988420183,0.0
GNAI3,0.11042183622828784,0.11031844499586435,0.007961124896608768,0.007961124896608768,0.0
GRIA2,0.11042183622828784,0.11031844499586435,0.010804383788254756,0.010752688172043012,5.1695616211745244e-05
MAPK14,0.11042183622828784,0.11031844499586435,0.026468155500413565,0.026468155500413565,0.0
GPN1,0.11042183622828784,0.1096980976013234,0.003618693134822167,0.003618693134822167,0.0
JMJD6,0.11042183622828784,0.11016335814722912,0.006048387096774193,0.006048387096774193,0.0
ENSG00000254996,0.11042183622828784,0.11016335814722912,0.007185690653432589,0.007185690653432589,0.0
