gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
SAA2,0.25082712985938793,0.24183209263854424,0.0031534325889164597,0.0031534325889164597,0.0
C1orf115,0.25082712985938793,0.23030397022332505,0.0012923904052936312,0.0012923904052936312,0.0
S100Z,0.25082712985938793,0.22239454094292804,0.0008271298593879239,0.0008271298593879239,0.0
SLC51B,0.25082712985938793,0.22958023159636062,0.004755996691480562,0.004755996691480562,0.0
C1orf141,0.25082712985938793,0.2352667493796526,0.0016542597187758478,0.0016542597187758478,0.0
YDJC,0.25082712985938793,0.23692100909842845,0.0017576509511993384,0.0017576509511993384,0.0
DCANP1,0.25082712985938793,0.17007857733664186,0.00041356492969396195,0.00041356492969396195,0.0
C5orf56,0.25082712985938793,0.18108974358974358,0.0008271298593879239,0.0008271298593879239,0.0
C5orf30,0.25082712985938793,0.2196029776674938,0.0014991728701406121,0.0014991728701406121,0.0
SAMD12,0.25082712985938793,0.23950578990901572,0.0021712158808933004,0.0021712158808933004,0.0
C2orf16,0.25082712985938793,0.22389371381306866,0.0012406947890818859,0.0012406947890818859,0.0
C6orf223,0.25082712985938793,0.17866004962779156,0.0003618693134822167,0.0003618693134822167,0.0
CCDC93,0.25082712985938793,0.233767576509512,0.0018610421836228288,0.0018093465674110835,5.1695616211745244e-05
TEX29,0.25082712985938793,0.1766439205955335,0.0007237386269644334,0.0007237386269644334,0.0
TANGO2,0.25082712985938793,0.24663978494623656,0.005117866004962779,0.005066170388751034,5.1695616211745244e-05
MAP7D2,0.25082712985938793,0.24813895781637718,0.004704301075268817,0.004704301075268817,0.0
AS3MT,0.25082712985938793,0.24751861042183623,0.006151778329197684,0.006100082712985939,5.1695616211745244e-05
OR52L1,0.25082712985938793,0.1936517783291977,0.0011889991728701406,0.0011889991728701406,0.0
OR11H1,0.25082712985938793,0.1868279569892473,0.0009305210918114144,0.0009305210918114144,0.0
SLC39A9,0.25082712985938793,0.2430210918114144,0.004032258064516129,0.004032258064516129,0.0
ARHGEF33,0.25082712985938793,0.22260132340777503,0.0015508684863523574,0.0015508684863523574,0.0
TRAK1,0.25082712985938793,0.24881100082712987,0.005944995864350703,0.005944995864350703,0.0
KBTBD11,0.25082712985938793,0.24162531017369726,0.002377998345740281,0.002377998345740281,0.0
TOR4A,0.25082712985938793,0.24162531017369726,0.0020678246484698098,0.0020161290322580645,5.1695616211745244e-05
OR1E1,0.25082712985938793,0.2022332506203474,0.0015508684863523574,0.0015508684863523574,0.0
KIAA1107,0.25082712985938793,0.20254342431761788,0.0008271298593879239,0.0008271298593879239,0.0
SLFN13,0.25082712985938793,0.23076923076923078,0.0014991728701406121,0.0014991728701406121,0.0
TTC39A,0.25082712985938793,0.23381927212572373,0.002326302729528536,0.002326302729528536,0.0
PRDM12,0.25082712985938793,0.23836848635235733,0.002946650124069479,0.002946650124069479,0.0
MAGEA4,0.25082712985938793,0.24586435070306037,0.003360215053763441,0.003360215053763441,0.0
OR4D5,0.25082712985938793,0.19980355665839536,0.0010856079404466502,0.0010856079404466502,0.0
ERVK-24,0.25082712985938793,0.13239247311827956,0.00015508684863523573,0.00015508684863523573,0.0
ERVK-10,0.25082712985938793,0.13616625310173697,0.00020678246484698098,0.00020678246484698098,0.0
OR10J1,0.25082712985938793,0.19840777502067825,0.0011373035566583955,0.0011373035566583955,0.0
SULT6B1,0.25082712985938793,0.22730562448304384,0.0017576509511993384,0.0017576509511993384,0.0
ZDHHC23,0.25082712985938793,0.2450889164598842,0.0036703887510339123,0.003618693134822167,5.1695616211745244e-05
CRYGN,0.25082712985938793,0.22906327543424318,0.002274607113316791,0.002274607113316791,0.0
RUSC1,0.25082712985938793,0.22813275434243177,0.0014991728701406121,0.0014991728701406121,0.0
C1orf168,0.25082712985938793,0.2321650124069479,0.0015508684863523574,0.0015508684863523574,0.0
CCDC171,0.25082712985938793,0.2246174524400331,0.0013957816377171215,0.0013957816377171215,0.0
FAM227B,0.25082712985938793,0.06389578163771713,0.00010339123242349049,0.00010339123242349049,0.0
N6AMT2,0.25082712985938793,0.23981596360628618,0.0027398676592224978,0.0027398676592224978,0.0
CFAP45,0.25082712985938793,0.2396091811414392,0.0024813895781637717,0.0024813895781637717,0.0
MROH1,0.25082712985938793,0.24116004962779156,0.0028949545078577337,0.0028949545078577337,0.0
SCGB2A1,0.25082712985938793,0.24353804797353185,0.0030500413564929696,0.0030500413564929696,0.0
FHAD1,0.25082712985938793,0.2387820512820513,0.0022229114971050457,0.0022229114971050457,0.0
RIMBP3,0.25082712985938793,0.24048800661703887,0.0029983457402812243,0.002946650124069479,5.1695616211745244e-05
MEI4,0.25082712985938793,0.19737386269644333,0.0009305210918114144,0.0009305210918114144,0.0
SULT1A4,0.25082712985938793,0.2401778329197684,0.0037220843672456576,0.0037220843672456576,0.0
PROB1,0.25082712985938793,0.18362282878411912,0.0008788254755996692,0.0008788254755996692,0.0
URGCP,0.25082712985938793,0.22958023159636062,0.0018610421836228288,0.0018610421836228288,0.0
PLXDC1,0.25082712985938793,0.2456575682382134,0.0029983457402812243,0.0029983457402812243,0.0
RNF44,0.25082712985938793,0.24720843672456574,0.006513647642679901,0.006513647642679901,0.0
C1orf52,0.25082712985938793,0.18171009098428453,0.0008271298593879239,0.0008271298593879239,0.0
HMGN2,0.25082712985938793,0.2405397022332506,0.003205128205128205,0.003205128205128205,0.0
CEP63,0.25082712985938793,0.24638130686517784,0.004859387923904053,0.004859387923904053,0.0
CCDC67,0.25082712985938793,0.2396091811414392,0.0026364764267990076,0.0026364764267990076,0.0
TNRC18,0.25082712985938793,0.24534739454094293,0.004652605459057072,0.004652605459057072,0.0
OR14C36,0.25082712985938793,0.1755066170388751,0.0009822167080231596,0.0009822167080231596,0.0
OR14J1,0.25082712985938793,0.1936517783291977,0.0008788254755996692,0.0008788254755996692,0.0
ADM5,0.25082712985938793,0.21096980976013235,0.0011889991728701406,0.0011889991728701406,0.0
TCTA,0.25082712985938793,0.24203887510339123,0.0028949545078577337,0.0028949545078577337,0.0
PTCHD4,0.25082712985938793,0.24110835401157982,0.0031534325889164597,0.003101736972704715,5.1695616211745244e-05
SAMD10,0.25082712985938793,0.23418114143920596,0.002274607113316791,0.002274607113316791,0.0
SUGP2,0.25082712985938793,0.23955748552522746,0.002688172043010753,0.002688172043010753,0.0
NHSL2,0.25082712985938793,0.22880479735318446,0.001705955334987593,0.001705955334987593,0.0
C6orf165,0.25082712985938793,0.2279259718775848,0.0012406947890818859,0.0012406947890818859,0.0
CCDC66,0.25082712985938793,0.23438792390405294,0.002377998345740281,0.002377998345740281,0.0
ADIRF,0.25082712985938793,0.2436931348221671,0.0033085194375516956,0.0033085194375516956,0.0
CRYGA,0.25082712985938793,0.23655913978494625,0.002274607113316791,0.002274607113316791,0.0
POLR3GL,0.25082712985938793,0.24477874276261374,0.0035669975186104217,0.0035669975186104217,0.0
STAC,0.25082712985938793,0.24307278742762614,0.0024296939619520264,0.0024296939619520264,0.0
MBD1,0.25082712985938793,0.23568031430934658,0.0033085194375516956,0.0033085194375516956,0.0
PARP6,0.25082712985938793,0.23743796526054592,0.0021712158808933004,0.0021712158808933004,0.0
TRPT1,0.25082712985938793,0.21877584780810588,0.0018610421836228288,0.0018610421836228288,0.0
LECT2,0.25082712985938793,0.24627791563275434,0.00423904052936311,0.00423904052936311,0.0
CCER2,0.25082712985938793,0.10147849462365591,0.0003618693134822167,0.0003618693134822167,0.0
PARP8,0.25082712985938793,0.24240074441687345,0.0026364764267990076,0.0026364764267990076,0.0
ATAT1,0.25082712985938793,0.244520264681555,0.0034636062861869315,0.003411910669975186,5.1695616211745244e-05
KIAA1731,0.25082712985938793,0.23986765922249792,0.002274607113316791,0.002274607113316791,0.0
TCP10L,0.25082712985938793,0.21029776674937964,0.0010856079404466502,0.0010856079404466502,0.0
MYCBPAP,0.25082712985938793,0.24358974358974358,0.0028949545078577337,0.0028432588916459884,5.1695616211745244e-05
MRS2,0.25082712985938793,0.24860421836228289,0.00739247311827957,0.00739247311827957,0.0
C14orf142,0.25077543424317617,0.18936104218362282,0.0010339123242349049,0.0010339123242349049,0.0
TMEM89,0.25082712985938793,0.14278329197684037,0.00041356492969396195,0.00041356492969396195,0.0
HMP19,0.25082712985938793,0.24467535153019024,0.0033085194375516956,0.0033085194375516956,0.0
LETM2,0.25082712985938793,0.24855252274607112,0.0063068651778329194,0.0063068651778329194,0.0
SPATC1,0.25082712985938793,0.22797766749379653,0.0010856079404466502,0.0010856079404466502,0.0
OR11G2,0.25082712985938793,0.22389371381306866,0.0015508684863523574,0.0015508684863523574,0.0
CCDC178,0.25082712985938793,0.22921836228287842,0.0017576509511993384,0.0017576509511993384,0.0
ASTE1,0.25082712985938793,0.23702440033085195,0.0020161290322580645,0.0020161290322580645,0.0
TMEM182,0.25082712985938793,0.23578370554177006,0.001912737799834574,0.001912737799834574,0.0
ARHGAP20,0.25082712985938793,0.24813895781637718,0.0057382133995037225,0.0057382133995037225,0.0
EPM2AIP1,0.25082712985938793,0.23071753515301902,0.0021712158808933004,0.0021712158808933004,0.0
KIAA1257,0.25082712985938793,0.1869313482216708,0.0006720430107526882,0.0006720430107526882,0.0
NATD1,0.25082712985938793,0.2095740281224152,0.0009305210918114144,0.0009305210918114144,0.0
HAUS2,0.25082712985938793,0.24757030603804797,0.004549214226633582,0.004549214226633582,0.0
LCE1F,0.25077543424317617,0.20145781637717122,0.0007237386269644334,0.0007237386269644334,0.0
NRBP2,0.25082712985938793,0.23816170388751035,0.0024813895781637717,0.0024296939619520264,5.1695616211745244e-05
TTC7A,0.25082712985938793,0.24421009098428453,0.004083953680727875,0.004083953680727875,0.0
SLAIN1,0.25082712985938793,0.2396091811414392,0.002119520264681555,0.002119520264681555,0.0
OGFRL1,0.25082712985938793,0.23666253101736973,0.001705955334987593,0.001705955334987593,0.0
RBM14-RBM4,0.25082712985938793,0.24617452440033086,0.004962779156327543,0.004962779156327543,0.0
C19orf12,0.25082712985938793,0.2460194375516956,0.0035669975186104217,0.0035669975186104217,0.0
GMNC,0.25082712985938793,0.23020057899090157,0.0020161290322580645,0.0020161290322580645,0.0
PRR26,0.25082712985938793,0.1565343258891646,0.0005169561621174524,0.0005169561621174524,0.0
NAT6,0.25082712985938793,0.1593775847808106,0.0005169561621174524,0.0005169561621174524,0.0
AVEN,0.25082712985938793,0.2413151364764268,0.0034636062861869315,0.0034636062861869315,0.0
QRICH2,0.25082712985938793,0.2193961952026468,0.0013440860215053765,0.0013440860215053765,0.0
GEMIN8,0.25082712985938793,0.24663978494623656,0.0057382133995037225,0.0057382133995037225,0.0
NBPF11,0.25077543424317617,0.20786807278742764,0.0010339123242349049,0.0010339123242349049,0.0
SNRNP48,0.25082712985938793,0.2157258064516129,0.0020678246484698098,0.0020678246484698098,0.0
ENSG00000270299,0.25082712985938793,0.15017576509511993,0.0004652605459057072,0.0004652605459057072,0.0
ZBED2,0.25082712985938793,0.22161910669975185,0.0008788254755996692,0.0008788254755996692,0.0
FAM131A,0.25082712985938793,0.21510545905707196,0.0011373035566583955,0.0011373035566583955,0.0
LCE1C,0.25082712985938793,0.15751654259718775,0.0003618693134822167,0.0003618693134822167,0.0
TRABD2A,0.25082712985938793,0.19644334160463192,0.001912737799834574,0.001912737799834574,0.0
IQCH,0.25082712985938793,0.22125723738626965,0.0009305210918114144,0.0009305210918114144,0.0
TMEM81,0.25082712985938793,0.1869313482216708,0.0008271298593879239,0.0008271298593879239,0.0
METTL23,0.25082712985938793,0.24116004962779156,0.0029983457402812243,0.0029983457402812243,0.0
